iter	Passed	Remaining
494	6504	6636
495	6514	6619
496	6522	6601
497	6530	6583
498	6539	6566
499	6547	6547
500	6556	6530
501	6567	6514
502	6576	6497
503	6583	6478
504	6592	6462
505	6600	6444
506	6609	6426
507	6617	6408
508	6627	6392
509	6638	6378
510	6655	6368
511	6673	6360
512	6710	6370
513	6727	6361
514	6739	6346
515	6751	6332
516	6775	6329
517	6792	6320
518	6807	6309
519	6819	6294
520	6834	6283
521	6851	6274
522	6864	6260
523	6877	6247
524	6889	6233
525	6899	6217
526	6913	6204
527	6922	6188
528	6931	6171
529	6942	6156
530	6952	6140
531	6962	6124
532	6973	6109
533	6982	6093
534	6992	6077
535	7003	6062
536	7011	6045
537	7023	6031
538	7034	6016
539	7042	5998
540	7050	5981
541	7060	5966
542	7071	5951
543	7086	5940
544	7099	5927
545	7128	5927
546	7161	5930
547	7196	5935
548	7213	5925
549	7229	5914
550	7246	5905
551	7264	5895
552	7282	5886
553	7306	5882
554	7322	5870
555	7338	5860
556	7356	5850
557	7372	5839
558	7394	5833
559	7417	5827
560	7432	5816
561	7447	5804
562	7464	5793
563	7478	5780
564	7490	5767
565	7506	5755
566	7521	5743
567	7550	5742
568	7565	5730
569	7578	5717
570	7596	5707
571	7615	5698
572	7638	5692
573	7655	5681
574	7669	5668
575	7683	5655
576	7693	5640
577	7706	5626
578	7717	5611
579	7728	5596
580	7739	5581
581	7749	5565
582	7760	5551
583	7772	5536
584	7787	5524
585	7799	5510
586	7816	5499
587	7831	5487
588	7852	5479
589	7866	5466
590	7883	5455
591	7894	5440
592	7909	5428
593	7919	5413
594	7930	5397
595	7940	5382
596	7951	5367
597	7963	5353
598	7976	5339
599	7994	5329
600	8012	5319
601	8025	5306
602	8037	5291
603	8049	5277
604	8068	5267
605	8082	5255
606	8094	5240
607	8105	5225
608	8119	5212
609	8132	5199
610	8144	5185
611	8156	5171
612	8170	5158
613	8181	5143
614	8192	5128
615	8203	5113
616	8215	5099
617	8229	5086
618	8244	5074
619	8260	5062
620	8274	5049
621	8292	5039
622	8306	5026
623	8318	5012
624	8331	4998
625	8343	4984
626	8358	4972
627	8372	4959
628	8391	4949
629	8411	4940
630	8442	4936
631	8462	4927
632	8476	4914
633	8502	4908
634	8516	4895
635	8531	4882
636	8543	4868
637	8556	4855
638	8569	4841
639	8586	4829
640	8605	4819
641	8626	4810
642	8645	4800
643	8657	4786
644	8673	4773
645	8692	4763
646	8709	4751
647	8725	4739
648	8741	4727
649	8755	4714
650	8770	4701
651	8788	4691
652	8800	4676
653	8811	4661
654	8824	4648
655	8837	4634
656	8850	4620
657	8861	4605
658	8873	4591
659	8883	4576
660	8895	4562
661	8906	4547
662	8916	4532
663	8926	4516
664	8939	4503
665	8949	4488
666	8960	4473
667	8971	4459
668	8983	4444
669	8993	4429
670	9003	4414
671	9013	4399
672	9025	4385
673	9035	4370
674	9046	4355
675	9057	4340
676	9068	4326
677	9079	4311
678	9089	4296
679	9102	4283
680	9117	4270
681	9133	4258
682	9146	4245
683	9162	4232
684	9175	4219
685	9186	4205
686	9198	4190
687	9209	4176
688	9221	4162
689	9234	4148
690	9244	4134
691	9254	4119
692	9264	4104
693	9272	4088
694	9281	4073
695	9291	4058
696	9299	4042
697	9307	4027
698	9317	4012
699	9327	3997
700	9337	3982
701	9347	3968
702	9358	3953
703	9370	3939
704	9379	3924
705	9389	3910
706	9400	3895
707	9410	3881
708	9420	3866
709	9431	3852
710	9444	3838
711	9454	3824
712	9464	3809
713	9474	3795
714	9484	3780
715	9492	3765
716	9501	3750
717	9509	3735
718	9518	3719
719	9527	3705
720	9535	3690
721	9543	3674
722	9552	3659
723	9561	3645
724	9570	3630
725	9581	3615
726	9591	3601
727	9601	3587
728	9611	3573
729	9623	3559
730	9632	3544
731	9642	3530
732	9654	3516
733	9665	3502
734	9675	3488
735	9688	3475
736	9700	3461
737	9710	3447
738	9720	3433
739	9731	3419
740	9741	3404
741	9752	3391
742	9764	3377
743	9773	3363
744	9783	3348
745	9792	3334
746	9802	3320
747	9814	3306
748	9824	3292
749	9834	3278
750	9845	3264
751	9855	3250
752	9866	3236
753	9876	3222
754	9889	3209
755	9900	3195
756	9910	3181
757	9922	3167
758	9934	3154
759	9945	3140
760	9957	3127
761	9965	3112
762	9974	3098
763	9983	3083
764	9992	3069
765	10000	3054
766	10007	3040
767	10017	3026
768	10027	3012
769	10036	2997
770	10046	2984
771	10056	2970
772	10066	2956
773	10077	2942
774	10092	2930
775	10104	2916
776	10115	2903
777	10128	2890
778	10143	2877
779	10157	2864
780	10172	2852
781	10184	2839
782	10195	2825
783	10207	2812
784	10221	2799
785	10234	2786
786	10244	2772
787	10255	2759
788	10267	2745
789	10277	2732
790	10286	2717
791	10296	2704
792	10305	2690
793	10315	2676
794	10324	2662
795	10333	2648
796	10342	2634
797	10351	2620
798	10361	2606
799	10370	2592
800	10380	2578
801	10390	2565
802	10399	2551
803	10408	2537
804	10417	2523
805	10426	2509
806	10436	2496
807	10447	2482
808	10455	2468
809	10466	2455
810	10476	2441
811	10486	2427
812	10496	2414
813	10505	2400
814	10515	2386
815	10524	2373
816	10534	2359
817	10545	2346
818	10555	2332
819	10566	2319
820	10575	2305
821	10585	2292
822	10593	2278
823	10602	2264
824	10611	2251
825	10622	2237
826	10632	2224
827	10641	2210
828	10650	2196
829	10660	2183
830	10670	2170
831	10680	2156
832	10690	2143
833	10698	2129
834	10709	2116
835	10719	2102
836	10728	2089
837	10738	2075
838	10748	2062
839	10757	2049
840	10767	2035
841	10778	2022
842	10787	2009
843	10795	1995
844	10805	1982
845	10815	1968
846	10825	1955
847	10836	1942
848	10845	1928
849	10856	1915
850	10867	1902
851	10877	1889
852	10888	1876
853	10898	1863
854	10907	1849
855	10917	1836
856	10925	1823
857	10935	1809
858	10944	1796
859	10953	1783
860	10961	1769
861	10970	1756
862	10979	1743
863	10988	1729
864	10998	1716
865	11008	1703
866	11017	1690
867	11029	1677
868	11039	1664
869	11048	1650
870	11062	1638
871	11081	1626
872	11093	1613
873	11102	1600
874	11109	1587
875	11117	1573
876	11126	1560
877	11135	1547
878	11144	1534
879	11155	1521
880	11168	1508
881	11177	1495
882	11187	1482
883	11194	1469
884	11204	1455
885	11213	1442
886	11226	1430
887	11238	1417
888	11250	1404
889	11261	1391
890	11272	1379
891	11281	1365
892	11291	1352
893	11324	1342
894	11336	1329
895	11345	1316
896	11357	1304
897	11365	1290
898	11374	1277
899	11382	1264
900	11390	1251
901	11398	1238
902	11407	1225
903	11416	1212
904	11423	1199
905	11431	1186
906	11440	1173
907	11449	1160
908	11457	1146
909	11465	1133
910	11474	1121
911	11482	1107
912	11490	1094
913	11499	1081
914	11507	1069
915	11515	1056
916	11523	1043
917	11532	1030
918	11542	1017
919	11552	1004
920	11562	991
921	11572	979
922	11581	966
923	11591	953
924	11599	940
925	11607	927
926	11617	914
927	11627	902
928	11636	889
929	11646	876
930	11656	863
931	11666	851
932	11677	838
933	11686	825
934	11694	813
935	11703	800
936	11710	787
937	11719	774
938	11727	761
939	11737	749
940	11746	736
941	11755	723
942	11764	711
943	11774	698
944	11782	685
945	11790	673
946	11799	660
947	11807	647
948	11814	634
949	11823	622
950	11831	609
951	11840	597
952	11847	584
953	11856	571
954	11864	559
955	11873	546
956	11880	533
957	11889	521
958	11896	508
959	11905	496
960	11912	483
961	11920	470
962	11928	458
963	11937	445
964	11944	433
965	11951	420
966	11960	408
967	11968	395
968	11976	383
969	11984	370
970	11992	358
971	12001	345
972	12009	333
973	12017	320
974	12026	308
975	12036	295
976	12046	283
977	12055	271
978	12065	258
979	12074	246
980	12083	234
981	12092	221
982	12101	209
983	12112	196
984	12122	184
985	12131	172
986	12141	159
987	12150	147
988	12160	135
989	12168	122
990	12177	110
991	12186	98
992	12195	85
993	12204	73
994	12212	61
995	12220	49
996	12228	36
997	12236	24
998	12244	12
999	12253	0
